Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
8,59,Yes,4,7,52.74
9,72,No,9,0,69.29
8,41,Yes,5,1,33.72
9,56,No,7,9,53.81
7,91,No,4,3,81.07
8,76,Yes,4,6,69.85
6,56,Yes,6,4,44.35
1,77,No,4,4,49.85
7,74,Yes,6,7,66.12
9,86,No,6,6,83.27
1,74,Yes,7,4,48.85
4,97,No,5,9,80.27
6,96,No,9,1,85.34
8,48,No,9,6,43.18
1,67,Yes,8,5,42.41
4,75,No,8,6,58.74
9,97,No,6,6,94.47
1,84,No,9,6,59.81
6,89,Yes,5,2,77.06
6,89,Yes,8,8,79.7
2,73,Yes,4,8,50.02
6,70,Yes,7,6,59.48
6,87,Yes,9,2,76.97
4,68,Yes,9,7,52.89
8,58,No,5,3,50.83
9,66,Yes,4,7,62.73
7,67,No,8,0,58.0
6,63,Yes,6,2,51.08
1,74,Yes,6,5,48.56
5,43,No,6,0,26.87
1,46,No,8,8,21.03
2,61,No,4,8,37.21
6,61,Yes,4,3,48.27
6,93,No,8,9,83.38
4,95,Yes,8,3,79.1
8,76,No,5,8,70.13
2,55,No,5,7,31.39
5,67,No,8,0,52.27
3,82,No,5,8,61.94
1,40,No,9,2,14.23
3,47,No,7,4,26.49
4,96,No,7,3,79.04
4,58,No,4,9,40.08
5,89,No,9,7,76.54
4,44,Yes,6,8,27.2
1,98,Yes,5,2,71.92
2,73,Yes,8,7,51.77
6,91,Yes,4,3,78.81
9,54,Yes,9,2,51.96
4,81,Yes,6,3,63.88
7,56,Yes,8,2,47.79
7,92,Yes,8,4,84.83
4,46,No,7,4,28.34
1,66,Yes,4,2,38.85
8,68,No,8,7,63.25
2,46,No,9,1,23.0
8,82,No,8,3,76.72
2,58,Yes,5,9,35.44
5,79,No,4,3,63.13
4,45,Yes,7,0,27.13
7,64,Yes,8,6,56.72
9,79,Yes,8,9,78.3
6,61,No,7,4,49.33
5,56,No,8,2,41.47
8,61,Yes,6,6,55.55
7,73,Yes,9,5,66.17
7,47,No,7,6,38.33
5,84,Yes,9,8,72.24
3,63,Yes,5,2,42.01
4,99,No,8,4,82.78
9,66,No,8,5,63.68
2,78,Yes,8,0,55.48
6,71,Yes,8,7,61.18
4,67,Yes,4,8,49.64
8,67,Yes,5,4,60.78
5,65,No,7,2,50.15
7,42,Yes,6,3,32.76
2,40,Yes,6,8,17.4
9,44,No,5,8,40.42
4,78,No,7,5,61.11
5,74,Yes,5,9,60.31
5,88,Yes,8,5,75.23
6,55,Yes,4,7,42.95
7,65,No,9,7,57.83
9,64,Yes,9,5,62.73
9,86,No,5,2,81.99
9,54,No,8,0,50.48
1,49,Yes,8,6,24.28
1,40,Yes,7,6,14.64
7,73,No,4,0,62.16
8,62,No,9,8,57.83
3,82,No,5,6,61.54
9,64,No,4,3,59.31
3,52,Yes,8,6,33.06
4,72,Yes,7,0,54.61
4,81,No,4,1,61.91
7,71,Yes,5,0,61.2
3,79,Yes,6,0,58.39
8,83,No,4,1,75.39
3,80,No,8,7,61.17
3,81,No,5,8,60.92
2,49,Yes,6,7,26.37
1,68,No,8,3,42.44
5,56,No,7,8,42.17
6,65,No,4,3,51.74
6,60,Yes,7,5,49.1
8,56,Yes,6,7,50.66
2,79,Yes,6,2,55.92
5,79,Yes,9,1,65.77
7,88,Yes,6,0,78.99
8,41,Yes,6,8,35.59
4,98,Yes,9,4,82.84
9,87,No,7,3,84.18
6,51,No,5,2,37.78
1,55,Yes,7,1,28.92
6,42,No,8,6,30.87
6,97,No,5,4,85.0
2,60,No,4,9,36.39
2,61,No,5,1,36.32
6,68,Yes,4,5,55.79
3,48,Yes,7,0,27.32
9,92,Yes,4,2,88.21
1,93,No,8,5,68.28
8,65,Yes,8,4,60.2
4,45,No,9,1,27.7
9,87,No,7,7,84.97
1,50,No,4,6,22.76
1,49,No,5,7,22.43
4,86,No,4,2,67.2
9,73,No,7,0,69.34
4,70,Yes,9,2,53.94
3,51,Yes,9,2,31.74
1,90,No,5,6,63.97
4,83,No,4,9,65.53
9,55,No,8,8,53.08
6,42,No,9,7,31.55
3,97,No,9,0,77.58
4,64,No,7,1,46.07
5,74,No,8,4,60.19
9,74,Yes,6,5,71.45
4,61,No,6,4,43.12
9,76,Yes,5,2,72.41
9,74,No,4,8,70.47
4,84,No,9,7,68.58
1,59,Yes,6,0,32.31
5,81,No,4,4,65.37
4,43,No,6,7,25.39
8,97,Yes,6,3,91.61
3,55,Yes,5,2,33.87
2,43,Yes,7,8,20.94
3,77,Yes,6,1,56.55
8,54,No,4,4,46.46
1,76,No,7,3,50.1
7,55,No,7,3,45.88
6,86,No,9,5,75.95
5,46,Yes,7,9,32.78
8,73,Yes,4,7,66.99
2,40,No,8,1,16.4
5,71,No,8,0,56.35
2,97,No,4,4,73.07
9,44,Yes,9,7,42.77
4,69,No,7,2,51.36
6,55,No,8,3,43.51
3,41,No,5,8,20.2
6,80,Yes,5,5,68.49
5,50,Yes,8,3,36.15
1,79,No,7,4,53.35
2,68,Yes,7,9,46.59
5,54,Yes,6,8,40.24
7,95,No,9,6,88.17
5,51,Yes,8,8,38.16
4,64,Yes,9,4,48.23
1,71,Yes,8,1,45.69
7,57,Yes,8,6,49.59
6,46,No,4,7,33.19
9,84,No,7,4,81.32
4,45,Yes,4,8,27.24
7,53,No,6,6,43.95
1,43,No,7,7,17.29
6,55,No,8,6,44.1
3,90,Yes,4,5,69.6
4,58,Yes,7,1,40.56
9,43,No,7,4,39.59
1,90,No,4,6,63.48
2,80,Yes,4,1,55.77
2,88,No,4,8,64.7
3,49,No,4,1,26.48
8,54,Yes,5,4,47.55
7,43,Yes,4,1,32.41
9,50,No,9,3,47.49
9,50,No,6,5,46.42
9,47,No,8,9,45.13
3,90,Yes,8,6,71.74
3,83,No,8,0,62.84
6,83,Yes,4,7,71.45
2,89,No,9,0,66.57
3,53,Yes,8,1,33.09
8,41,Yes,9,1,35.67
2,81,No,9,2,58.82
3,75,Yes,9,4,56.57
3,59,No,4,2,36.86
4,98,No,5,1,79.71
9,45,Yes,6,8,42.52
8,87,Yes,8,4,82.6
5,75,No,7,5,60.92
4,84,No,4,6,65.95
1,81,Yes,4,9,55.5
6,74,Yes,8,1,63.05
2,67,No,5,5,43.22
7,67,No,9,3,59.07
1,50,Yes,8,5,25.11
6,75,No,7,7,64.17
7,41,Yes,4,2,30.57
6,59,No,5,9,47.3
8,41,No,9,1,35.07
4,50,Yes,6,9,33.5
1,71,No,7,8,45.99
6,94,No,6,5,82.63
3,61,Yes,8,7,42.42
8,56,No,7,4,49.96
8,75,No,8,9,70.77
1,91,Yes,9,7,67.72
4,53,No,7,1,34.87
3,97,Yes,4,2,76.13
3,48,No,6,9,28.01
5,51,Yes,7,1,36.29
6,95,Yes,6,7,84.64
6,43,No,7,1,30.41
4,96,Yes,8,9,81.3
7,64,Yes,9,0,56.02
5,44,Yes,9,2,30.34
3,46,Yes,7,4,26.07
5,78,Yes,8,3,64.66
4,98,Yes,4,9,81.39
9,81,Yes,9,5,80.04
2,58,Yes,6,1,34.35
7,82,Yes,6,9,74.66
7,42,No,8,3,33.14
9,57,No,4,4,52.38
6,59,No,8,2,47.39
3,68,No,6,6,47.78
2,94,No,7,5,71.68
8,62,Yes,8,3,56.95
6,70,No,5,7,58.11
6,60,No,7,3,48.11
4,41,No,4,9,22.77
6,43,No,8,6,31.89
6,96,Yes,6,4,85.07
8,46,No,6,0,38.51
1,58,No,4,6,30.9
4,83,Yes,7,7,67.19
4,40,No,5,4,21.26
7,58,Yes,4,1,47.68
8,84,No,7,3,78.27
4,53,No,6,7,35.57
7,83,Yes,5,5,74.4
2,78,Yes,8,2,55.88
7,96,Yes,8,2,88.51
2,83,Yes,6,0,59.6
2,40,No,9,2,17.09
4,71,No,9,7,55.35
5,47,Yes,8,7,33.89
3,57,Yes,7,2,36.87
5,84,Yes,4,7,69.61
9,68,No,9,3,65.81
8,71,Yes,8,7,66.9
7,87,Yes,9,7,80.82
8,97,Yes,5,7,91.91
8,49,No,9,8,44.6
5,73,Yes,9,3,60.05
4,56,Yes,9,9,41.07
8,67,Yes,5,9,61.76
7,77,No,9,8,70.24
8,89,No,5,3,82.38
1,94,Yes,5,1,67.65
7,41,No,6,5,31.54
7,88,No,7,6,80.07
8,60,No,7,9,55.02
2,43,Yes,4,0,17.91
9,83,Yes,4,8,80.23
3,73,No,6,7,53.07
8,48,No,9,3,42.59
4,46,No,9,1,28.72
5,69,Yes,9,7,56.77
6,83,Yes,6,6,72.23
9,54,Yes,6,7,51.48
2,95,Yes,9,6,74.46
7,84,No,4,3,73.95
1,92,Yes,6,7,67.28
3,58,No,4,7,36.82
4,79,No,6,6,61.84
6,80,Yes,9,1,69.65
3,54,No,5,0,31.86
8,85,Yes,8,9,81.55
9,90,Yes,4,9,87.55
9,94,Yes,6,9,92.6
7,74,Yes,8,2,66.11
4,42,No,8,9,25.74
8,49,Yes,6,3,42.75
8,51,Yes,9,0,45.65
1,52,No,9,1,26.24
9,63,No,4,8,59.27
2,96,No,9,3,74.29
2,55,No,4,7,30.91
1,71,Yes,4,1,43.75
2,76,No,7,1,52.56
2,95,Yes,7,5,73.29
7,86,No,6,0,76.36
1,51,No,8,3,25.13
4,99,No,4,9,81.81
9,40,No,8,2,36.63
2,61,Yes,7,6,38.87
8,81,Yes,5,0,74.24
1,45,Yes,4,5,18.07
8,59,No,5,3,51.84
3,60,No,7,7,40.32
6,45,Yes,8,3,33.93
6,67,No,5,4,54.46
3,88,No,9,0,68.42
5,90,No,8,0,75.69
3,80,Yes,8,0,60.38
8,83,Yes,6,6,77.95
6,58,Yes,9,3,47.65
5,71,No,5,5,55.87
4,84,No,8,8,68.29
9,88,No,6,7,85.5
7,87,Yes,4,7,78.38
3,62,No,5,2,40.4
2,71,Yes,4,2,46.81
2,53,Yes,6,8,30.64
6,60,No,6,3,47.63
2,40,Yes,5,6,16.52
8,94,No,9,1,89.03
8,91,No,6,9,86.09
3,50,No,5,8,29.36
7,75,Yes,4,1,64.98
7,93,Yes,6,3,84.68
1,65,No,4,5,37.83
6,47,Yes,8,4,36.16
3,58,No,8,1,37.59
4,69,No,5,7,51.37
1,97,Yes,6,4,71.78
5,67,No,9,9,54.53
4,92,No,4,8,74.49
7,57,No,9,3,48.89
5,85,No,6,1,69.82
1,55,No,5,4,27.94
6,57,Yes,6,7,45.96
7,94,No,4,0,83.53
9,56,No,5,7,52.44
6,89,Yes,8,4,78.91
5,70,No,8,2,55.72
1,56,No,4,9,29.46
6,97,Yes,8,1,86.47
1,84,No,6,8,58.74
6,47,No,9,5,36.25
6,77,Yes,4,2,64.36
6,62,Yes,8,5,51.63
8,71,No,9,1,65.61
5,88,No,6,6,73.86
3,78,No,8,2,58.14
6,84,Yes,8,4,73.82
1,42,No,8,9,17.15
1,52,No,7,6,26.26
8,85,Yes,6,1,79.0
8,45,No,5,6,38.18
1,86,Yes,5,4,60.09
4,92,Yes,4,7,74.89
8,46,No,6,0,38.51
4,69,Yes,5,1,50.78
2,60,Yes,5,9,37.47
2,44,No,4,1,18.53
7,90,No,4,8,81.04
2,69,Yes,5,7,46.24
5,75,No,9,3,61.5
5,94,No,8,3,80.35
7,52,Yes,8,6,44.5
5,53,No,9,5,39.49
6,76,Yes,9,9,67.15
8,52,No,6,2,45.01
9,97,Yes,9,3,95.93
4,83,No,4,1,63.95
6,46,Yes,4,5,33.39
8,87,Yes,4,5,80.85
8,46,Yes,8,7,41.45
6,89,Yes,6,5,78.14
6,59,Yes,7,4,47.89
3,77,No,7,3,56.84
9,79,Yes,8,6,77.71
7,71,No,5,5,61.59
1,78,No,9,9,54.29
4,61,Yes,4,0,41.95
7,90,Yes,7,2,81.91
9,41,Yes,5,2,36.78
7,92,No,4,7,82.88
9,82,No,5,8,79.1
3,62,No,4,6,40.7
7,93,No,9,0,84.95
9,53,No,6,7,49.87
6,75,No,4,2,61.73
2,89,No,4,7,65.52
4,81,Yes,5,4,63.59
2,67,No,9,6,45.36
4,55,Yes,5,8,37.91
5,54,No,8,6,40.22
3,79,Yes,9,2,60.24
7,89,No,4,6,79.63
4,70,Yes,9,1,53.75
6,42,Yes,6,8,30.88
4,87,Yes,9,2,71.25
9,72,Yes,5,2,68.34
6,65,No,8,1,53.3
2,55,Yes,6,3,31.69
4,55,Yes,5,5,37.32
7,59,No,9,4,51.13
4,93,No,6,5,75.89
2,40,Yes,4,8,16.43
8,81,No,4,3,73.75
7,43,No,4,2,32.01
5,54,No,8,8,40.62
8,90,Yes,7,7,85.76
7,47,No,8,1,37.83
4,99,No,6,8,82.59
1,66,No,8,2,40.21
1,70,Yes,8,9,46.25
2,69,No,5,4,45.06
2,54,No,8,8,32.03
8,40,No,9,8,35.43
1,92,Yes,6,7,67.28
6,55,Yes,4,4,42.36
6,77,Yes,8,4,66.7
9,49,No,9,3,46.47
2,76,Yes,5,6,53.17
9,51,Yes,4,7,47.46
2,59,No,6,5,35.56
8,88,No,5,7,82.15
7,91,No,5,1,81.16
1,83,Yes,7,6,58.41
3,41,Yes,4,1,18.93
6,56,No,4,9,43.76
2,64,No,4,0,38.69
8,75,No,4,9,68.83
6,70,No,4,9,58.02
4,51,No,5,9,33.44
1,62,No,5,5,35.27
3,78,No,4,2,56.2
6,54,Yes,5,5,42.02
2,76,No,9,5,54.33
5,97,Yes,7,5,83.91
4,44,Yes,6,9,27.39
7,78,No,8,5,70.18
3,59,Yes,8,9,40.78
1,49,Yes,4,5,22.14
8,63,Yes,4,8,57.01
9,56,Yes,8,3,53.71
6,84,No,9,5,73.91
9,63,Yes,5,9,60.55
9,82,No,7,6,79.68
4,60,Yes,8,4,43.67
7,54,Yes,7,7,46.25
6,60,Yes,6,2,48.02
5,41,Yes,5,7,26.32
3,43,No,6,8,22.72
3,99,Yes,6,8,80.33
5,99,Yes,8,9,87.22
4,80,No,9,0,63.13
7,84,No,6,3,74.92
4,57,Yes,8,1,40.03
6,64,No,7,1,51.79
6,93,Yes,5,7,82.12
4,87,No,8,8,71.35
6,93,Yes,5,9,82.51
7,73,No,8,3,64.69
8,56,No,7,0,49.17
3,63,Yes,6,5,43.09
6,42,Yes,8,5,31.27
4,54,Yes,9,7,38.64
1,89,Yes,8,5,64.81
4,78,Yes,9,2,62.09
8,76,Yes,5,4,69.94
7,91,No,9,2,83.31
9,43,Yes,4,6,39.12
9,70,No,4,7,66.2
9,72,Yes,7,5,69.9
6,78,Yes,5,6,66.65
4,48,Yes,4,3,29.31
1,67,Yes,4,6,40.66
6,70,No,7,1,57.9
7,92,No,9,7,85.31
7,62,Yes,4,9,53.33
6,55,Yes,6,4,43.33
1,87,Yes,7,5,62.28
4,67,Yes,6,1,49.23
8,80,Yes,9,7,76.55
3,99,No,5,1,77.86
6,52,No,6,4,39.68
6,84,Yes,4,7,72.47
4,92,No,8,8,76.44
1,95,No,6,9,70.13
5,70,Yes,8,0,55.92
4,74,Yes,4,9,56.96
1,69,Yes,7,2,43.37
8,92,Yes,4,5,85.94
2,89,No,8,1,66.28
9,87,No,5,9,84.39
2,82,Yes,6,6,59.76
3,49,No,4,7,27.66
4,80,No,5,0,61.19
5,51,No,7,1,35.7
2,60,Yes,9,1,37.84
2,88,No,8,8,66.65
6,75,No,8,9,65.05
5,72,No,7,3,57.47
5,98,Yes,6,2,83.85
7,62,Yes,8,4,54.29
9,82,No,8,8,80.56
5,41,Yes,4,8,26.03
6,99,Yes,5,6,88.03
3,78,Yes,5,5,57.87
1,76,No,9,7,51.86
6,87,Yes,4,2,74.54
7,40,No,6,1,29.73
9,57,Yes,8,3,54.72
5,97,No,9,4,84.09
5,59,Yes,9,0,45.21
3,73,No,8,6,53.84
3,81,No,6,2,60.22
4,63,No,9,3,46.42
5,94,Yes,4,0,78.41
7,75,Yes,8,4,67.52
3,46,No,4,9,25.0
9,49,No,7,5,45.89
7,40,Yes,8,6,32.29
2,89,Yes,5,5,66.21
9,84,No,9,3,82.1
4,91,Yes,8,9,76.21
7,87,Yes,7,9,80.24
9,92,Yes,9,5,91.23
9,71,No,7,5,68.29
4,60,Yes,7,8,43.97
4,80,No,7,8,63.74
4,81,No,8,1,63.86
2,40,Yes,5,9,17.11
2,83,Yes,8,4,61.36
2,94,No,6,0,70.2
2,86,Yes,6,2,63.05
7,97,No,7,7,89.43
3,70,Yes,7,1,49.91
7,74,Yes,9,4,66.99
7,96,No,9,6,89.19
6,89,No,5,5,77.06
8,44,No,8,2,37.84
7,89,Yes,5,7,80.91
8,75,Yes,8,2,69.99
7,66,No,4,5,56.02
1,54,No,7,7,28.49
7,44,No,5,2,33.52
3,91,No,7,7,71.88
7,50,Yes,5,0,39.82
7,45,No,7,5,36.1
3,86,Yes,9,0,66.98
2,98,No,8,8,76.82
6,66,No,9,8,56.18
1,90,No,7,7,65.14
6,69,No,5,5,56.7
1,74,No,4,0,46.01
2,81,No,9,4,59.22
9,76,Yes,6,5,73.49
9,71,Yes,5,0,66.92
6,74,Yes,8,6,64.04
3,71,No,4,5,49.66
8,62,No,4,3,54.41
2,72,Yes,9,8,51.44
1,64,Yes,8,0,38.37
8,63,Yes,8,3,57.97
4,78,No,4,6,59.85
9,85,Yes,5,0,81.18
1,52,No,5,8,25.68
9,62,No,9,1,59.31
3,75,No,6,9,55.5
6,55,No,4,6,42.15
3,55,Yes,8,5,35.92
3,81,No,8,8,62.38
2,94,Yes,6,8,72.37
8,95,No,7,6,90.06
7,50,No,6,8,41.29
9,51,No,7,1,47.14
6,67,Yes,5,0,54.27
4,40,No,6,2,21.35
4,95,No,9,8,79.98
8,82,No,9,5,77.6
9,63,Yes,9,6,61.91
1,86,No,6,9,60.97
7,64,Yes,6,9,56.34
5,99,No,4,7,84.28
8,68,No,5,1,60.61
4,56,No,6,9,39.02
7,99,No,6,6,90.78
8,83,No,4,4,75.99
7,99,Yes,4,3,89.81
9,75,Yes,7,9,73.74
7,91,Yes,4,9,82.85
6,90,No,6,3,78.17
3,42,No,9,4,22.38
6,52,No,4,4,38.71
3,40,Yes,7,3,19.77
8,87,No,7,6,81.91
9,89,Yes,9,3,87.79
7,93,Yes,6,4,84.87
6,70,No,8,1,58.39
8,48,No,9,4,42.79
3,69,Yes,6,7,49.59
3,98,No,7,2,78.02
2,97,Yes,5,9,75.14
9,76,No,5,9,73.19
7,55,Yes,4,5,45.41
1,76,Yes,7,3,50.69
3,63,Yes,9,9,45.34
6,48,Yes,4,0,34.44
3,62,No,7,0,40.98
8,74,No,7,7,68.87
6,46,No,6,2,33.18
8,69,Yes,4,5,62.53
9,74,Yes,8,4,72.23
4,96,No,7,9,80.22
8,72,Yes,7,8,67.63
6,92,Yes,5,3,80.31
3,67,Yes,5,3,46.28
9,42,Yes,7,1,38.57
4,57,Yes,4,1,38.08
2,92,Yes,5,3,68.87
2,66,No,7,4,42.97
7,40,No,7,6,31.21
7,45,No,9,7,37.47
9,50,Yes,6,2,46.43
6,73,Yes,4,8,61.47
8,78,No,8,1,72.25
8,60,No,5,2,52.66
1,95,No,8,4,70.12
1,52,Yes,6,3,25.77
2,77,Yes,8,5,55.45
1,91,Yes,6,3,65.47
7,40,No,8,2,30.9
5,78,Yes,6,6,64.28
5,71,Yes,5,0,55.48
9,88,No,8,8,86.67
6,43,No,4,5,29.74
1,48,No,9,5,22.96
8,45,No,9,0,38.95
7,93,Yes,4,6,84.29
8,74,No,5,5,67.51
6,57,No,8,8,46.53
1,99,No,6,1,72.63
7,54,No,6,7,45.17
2,56,Yes,5,3,32.22
7,82,No,4,4,72.11
2,54,No,8,0,30.46
2,58,No,8,4,35.32
4,65,No,5,2,46.31
2,61,No,9,0,38.07
9,62,No,6,7,59.03
3,52,Yes,4,7,31.31
4,67,Yes,7,1,49.72
6,96,No,6,6,84.86
8,76,No,9,4,71.29
6,83,Yes,6,7,72.42
1,72,No,6,4,45.74
6,83,Yes,7,1,71.73
7,84,Yes,7,6,76.59
4,75,Yes,8,9,59.93
9,58,Yes,4,2,53.6
7,72,Yes,9,4,64.96
1,83,No,4,5,56.16
7,86,No,5,7,77.26
9,50,No,9,9,48.67
8,81,No,6,2,74.53
6,41,Yes,7,8,30.35
3,65,Yes,6,6,45.32
7,56,No,4,0,44.85
3,56,No,9,3,36.43
2,69,Yes,9,1,47.01
3,79,No,6,0,57.79
4,63,Yes,5,9,46.25
6,43,No,8,9,32.48
5,77,No,9,1,63.14
5,68,Yes,8,9,55.66
1,91,No,6,2,64.68
4,45,No,9,9,29.28
7,85,No,6,7,76.72
2,52,Yes,4,5,28.06
6,70,No,7,4,58.49
2,87,Yes,7,3,64.75
1,94,Yes,6,3,68.53
7,52,No,8,5,43.71
9,46,No,8,5,43.33
2,78,No,8,4,55.68
1,78,No,7,8,53.12
6,97,Yes,5,4,85.6
3,81,No,6,6,61.01
2,44,Yes,5,1,19.61
7,40,Yes,8,9,32.88
1,77,No,6,5,51.02
2,54,Yes,4,7,30.49
7,69,No,6,1,59.26
5,71,No,5,8,56.46
8,53,No,5,2,45.54
5,67,Yes,6,1,52.09
5,63,No,5,5,47.73
2,68,Yes,9,6,46.97
4,73,No,7,9,56.81
2,69,No,8,3,46.32
1,55,Yes,7,4,29.51
4,42,No,4,9,23.79
8,97,No,9,7,93.26
9,83,Yes,7,3,80.7
5,64,No,7,3,49.32
1,80,No,6,3,53.68
1,83,No,5,3,56.25
3,43,Yes,6,1,21.94
1,46,Yes,5,0,18.59
7,85,Yes,8,0,76.91
8,48,No,8,2,41.91
6,59,No,8,0,46.99
4,40,Yes,8,5,23.51
8,93,Yes,5,1,86.66
1,66,No,8,2,40.21
9,60,Yes,8,1,57.38
6,63,Yes,9,3,52.74
7,74,Yes,5,7,65.64
7,60,No,5,8,50.99
1,99,Yes,9,3,75.08
9,52,Yes,7,7,49.94
1,46,No,8,1,19.65
2,63,Yes,7,6,40.91
5,82,No,5,2,66.48
2,52,No,6,1,27.65
7,78,No,5,0,67.73
3,91,Yes,6,7,71.98
7,61,Yes,8,0,52.48
6,51,Yes,9,3,40.52
3,97,No,7,1,76.8
7,83,Yes,5,9,75.19
3,98,Yes,7,4,79.01
6,66,Yes,4,9,54.54
7,62,Yes,8,0,53.5
3,69,No,6,2,48.01
7,74,No,8,1,65.32
7,64,Yes,4,8,55.17
7,71,No,4,1,60.32
9,63,No,7,9,60.93
7,75,Yes,6,1,65.96
2,81,Yes,4,9,58.36
6,70,No,9,2,59.07
2,71,No,6,7,48.17
3,59,Yes,6,3,38.62
8,98,Yes,8,2,93.4
4,79,No,8,5,62.61
6,57,Yes,6,5,45.56
2,85,Yes,9,5,64.08
7,74,No,9,8,67.18
7,42,No,6,3,32.16
7,43,Yes,9,6,35.83
1,44,No,4,8,17.05
6,68,No,9,7,58.02
6,41,No,8,5,29.65
8,66,No,7,2,59.75
8,72,No,4,6,65.18
8,60,No,5,3,52.86
9,70,No,9,3,67.85
8,92,No,7,5,86.8
4,88,Yes,4,6,70.62
2,64,No,6,3,40.26
2,44,Yes,4,0,18.93
2,59,Yes,6,2,35.56
1,68,No,7,8,42.94
2,48,Yes,6,2,24.37
4,67,No,7,8,50.5
2,66,No,4,5,41.71
8,47,Yes,8,6,42.27
7,67,No,8,3,58.59
8,87,No,5,3,80.35
5,69,No,7,6,55.01
6,61,Yes,6,1,48.85
2,59,No,8,3,36.14
5,42,No,6,2,26.25
6,44,No,5,1,30.46
7,65,No,8,3,56.55
8,96,Yes,8,5,91.96
7,52,Yes,6,9,44.12
5,54,No,4,9,38.87
6,65,No,4,0,51.15
4,87,Yes,8,9,72.14
5,48,No,5,3,32.06
8,82,No,8,5,77.11
8,45,Yes,9,9,41.32
3,42,No,8,9,22.88
5,53,No,7,0,37.54
8,63,No,5,8,56.9
3,83,Yes,9,1,64.12
9,54,Yes,7,3,51.18
6,76,Yes,4,3,63.54
6,83,Yes,6,9,72.82
2,42,Yes,6,8,19.44
4,73,No,7,4,55.82
3,92,No,8,0,72.0
9,78,Yes,6,7,75.92
2,82,No,9,2,59.84
2,85,Yes,4,7,62.04
9,71,No,4,6,67.02
4,82,No,6,6,64.89
4,87,No,5,2,68.71
2,96,No,8,2,73.61
1,86,Yes,5,0,59.31
8,79,Yes,8,6,74.85
6,42,No,4,9,29.51
1,85,Yes,7,8,60.84
9,50,No,5,8,46.53
8,61,No,6,9,55.55
8,61,Yes,9,3,56.42
2,57,Yes,7,5,34.61
9,95,Yes,4,5,91.85
8,84,No,4,6,77.4
7,90,Yes,8,9,83.78
4,48,Yes,7,8,31.76
5,62,No,5,9,47.5
2,63,Yes,6,9,41.01
3,79,Yes,4,9,59.19
7,46,No,9,8,38.68
9,56,Yes,5,9,53.43
5,94,No,5,9,80.07
2,41,No,6,5,17.24
5,74,Yes,4,2,58.44
7,67,No,5,8,58.11
9,58,Yes,7,2,55.06
7,77,No,7,6,68.87
1,94,Yes,8,4,69.7
5,74,Yes,7,1,59.7
9,57,No,7,1,53.25
4,50,Yes,9,3,33.78
2,49,Yes,6,0,24.99
1,56,Yes,8,9,32.0
1,65,No,8,9,40.57
1,70,Yes,4,0,42.53
4,71,Yes,5,1,52.82
6,60,Yes,9,1,49.29
1,99,Yes,4,3,72.64
7,57,No,8,9,49.59
6,54,No,9,7,43.77
8,40,No,7,7,34.26
5,90,No,5,5,75.21
6,81,No,4,7,68.82
7,84,No,7,0,74.81
7,85,No,9,5,77.79
1,50,Yes,4,2,22.57
3,63,No,4,2,40.93
6,91,Yes,9,1,80.84
1,73,Yes,9,1,48.22
7,43,Yes,4,3,32.8
5,49,Yes,5,0,33.09
6,41,Yes,7,8,30.35
4,77,Yes,6,5,60.2
6,67,No,6,7,55.54
4,40,No,9,4,23.2
4,48,No,7,7,30.96
3,44,No,6,9,23.94
8,81,Yes,5,1,74.44
3,97,Yes,7,1,77.4
2,60,No,6,6,36.77
8,47,No,6,7,40.9
3,56,No,4,5,34.39
1,88,Yes,7,4,63.1
5,79,No,9,8,66.55
1,46,No,8,5,20.44
7,46,No,7,8,37.71
6,54,No,7,2,41.81
7,46,No,5,0,35.16
4,86,No,8,4,69.54
6,61,No,6,0,48.05
3,89,No,9,3,70.03
6,55,Yes,7,0,43.03
8,77,Yes,7,9,72.92
9,77,No,4,4,72.74
7,80,No,8,0,71.23
2,98,Yes,6,7,76.25
2,43,Yes,7,8,20.94
2,61,No,8,7,38.96
2,97,Yes,7,9,76.11
6,76,No,9,9,66.56
4,61,Yes,8,0,43.9
3,52,No,6,7,31.69
5,76,Yes,8,5,63.02
6,76,Yes,4,0,62.94
4,84,No,8,6,67.9
4,79,No,5,2,60.56
5,84,No,9,2,70.46
8,92,No,5,7,86.22
9,79,Yes,6,9,77.33
4,94,No,5,9,77.21
4,48,No,4,6,29.31
1,71,Yes,6,7,45.9
3,90,Yes,9,9,72.82
1,91,Yes,5,6,65.58
9,88,Yes,6,2,85.11
4,69,Yes,8,6,53.23
2,97,No,7,0,73.74
4,42,Yes,9,2,25.44
6,90,Yes,5,0,77.68
7,97,No,9,9,90.79
9,65,No,8,8,63.26
5,69,No,5,4,53.64
8,96,No,7,0,89.89
3,57,Yes,5,7,36.89
8,95,No,9,2,90.24
5,42,Yes,7,3,27.52
3,79,Yes,5,5,58.89
9,68,No,5,2,63.67
9,90,No,8,2,87.52
7,64,Yes,7,0,55.05
6,53,Yes,6,9,42.28
2,77,Yes,6,7,54.87
9,47,Yes,8,7,45.33
1,75,No,5,3,48.11
4,55,Yes,6,3,37.41
1,53,Yes,6,1,26.4
2,64,No,7,1,40.35
7,43,No,4,4,32.41
1,96,No,8,3,70.94
2,60,Yes,5,4,36.49
2,83,Yes,9,7,62.44
5,64,No,8,8,50.8
7,49,Yes,4,5,39.31
8,91,No,8,4,86.08
1,68,No,4,4,40.69
